,메뉴명,설명
65,곰탕,뿌연 사골국물을 쓰는 계열이 아니라?맑은 고깃국물 계통에 들어가는 재료이다
66,곰탕,담백한 맛이 일품인 국밥!
67,곰탕,원기회복을 위해서 먹어요!
68,곰탕,엄마가 오래 자리를 비울때 해주시는 음식..
69,곰탕,먹으면 뼈가 튼튼!
70,곰탕,"나주시가 이것으로 유명한데, 사골을 전혀 쓰지 않으며 일반 요리와 그 맛이 상당히 달라서 아예 따로 명사화하여 '나주곰탕'이라고 부른다"
71,곰탕,"만 원 이하는 보기 어렵고 보통 1만 2천 원, 특으로 주문하면 1만 5천 원쯤 한다"
72,곰탕,고기와 깔끔한 내장 등 비교적 고급 부위로 낸 국물을 사용한다는 것?고깃국물이 주를 이루기 때문에 설렁탕보다 국물이 맑은 편이다
73,곰탕,"소의 각 부위를 재료로 푹 끓인 국, 곰국이라고도 부른다, 여기서 '곰'은 뼈나 고기 따위를 오래 고았다는 뜻이다"
74,곱창,"그러나 내장 특유의 고약한 냄새와 뒷맛, 곱의 식감 때문에 호불호가 갈린다"
75,곱창,기름지고 느끼하기 때문에 소주와 잘 어울린다.
76,곱창,언제나 최고인 술안주..
77,곱창,구이로 먹어도 전골로 먹어도 맛있어요!
78,곱창,약간의 호불호는 있을 수 있습니당~
79,곱창,"탄력섬유가 많아 쫄깃하며, 곱창 안에 있는 곱이 상당히 고소해 고아서 먹거나 구워먹는 별미다"
80,곱창,소주와 굉장히 궁합이 좋은 음식 중하나이며 볶음밥을 많이 해먹는 음식 중 하나이기도 하다
81,곱창,"한국에서는 소주와 함께 안주로 많이 먹는 곱창전골과 곱창구이, 한끼 식사로 많이 먹는 내장탕과 곰탕을 만드는 데 쓴다"
82,곱창,"제대로 된 곱창의 가격은 거의 소고기 상급 부위 수준으로 비싼데, 손질에 손이 많이 가는 것도 이유이지만 도축하자마자 곱창을 바로 식당으로 보내야 해서 유통 과정에서도 비용이 꽤 들어가기 때문이다"
83,곱창구이,제대로 된 곱창의 가격은 거의?소고기?상급 부위 수준으로 비싸다
84,곱창구이,부드러움과 독특한 풍미
85,곱창구이,다양한 곁들임재료와 먹어봐요
86,곱창구이,곱창과 기타 내장 부속물을 구워먹는?한국 요리
87,곱창구이,기름지고 느끼하기 때문에 소주와 궁합이 좋다.
88,곱창구이,술안주로 유명하다
89,곱창구이,"?대창, 소막창 등 소의 다른 내장도 함께 넣어서 곱창모듬으로 팔기도 한다"
90,곱창구이,특유의 쫄깃한 식감이 있다
91,국밥,한국을 대표하는 국민 음식을 꼽았을 때 국밥이 있다고 말할 수 있을 정도로 대중적 인지도가 높으며 역사도 깊다
92,국밥,국에다가 밥을 넣어 말아먹는 한국의 문화이자 요리의 통칭
93,국밥,순대국에 말아먹으면 순대국밥 콩나물국에 말아먹으면 콩나물국밥이 되는 식이다
94,국밥,뜨거운 음식
95,김밥,지금처럼 분식집이 대중화 되지 않았던 1970~1980년대의 이것은 소풍갈 때처럼 '특별한 날에 먹는 특식'의 위상이었지만 지금의 소위 '값싸고 빠르게 한끼 때우는 음식'이 되어버린 것이다
96,김밥,간편하게 먹을 수 있는 메뉴
97,김밥,소풍갈때 엄마가 도시락에 싸주는 메뉴
98,김밥,라면이랑 먹으면 정말 찰떡궁합입니다!
99,김밥,"음식점에서 판매하는 음식 중 비교적 저렴한 가격에 배를 채울 수 있다는 장점 때문에 서민 음식의 대표 주자로, 편의점 햄버거나 분식점에서 판매하는 떡볶이, 튀김, 순대 등과 비교되기도 한다"
100,김밥,"대개 분식집에서 가장 잘 나가는 김밥은 그냥 3,500원에 파는 평범한 야채 김밥이다"
101,김밥,"참치김밥과 치즈김밥, 돈가스김밥은 다소 뒷맛이 느끼하므로 라면, 떡볶이, 쫄면 같은 음식과 궁합이 잘 맞는다"
102,김밥,"밥을 김으로 감싸 둥글게 만 뒤 잘라낸 음식으로, 오늘날 한국에서는 넓은 의미의 분식으로 여겨진다"
103,김밥,"주문 이후 나오기까지 오랜 시간이 걸리지 않고 포장 방식이 비교적 간편하며, 휴대가 용이하고 식후 정리가 간단하면서도 영양가는 아주 좋다는 장점으로 인해 시간적인 여유가 적은 사람들이 많이 찾는 음식이기도 하다"
104,김치전,비오는 날 막걸리와 함께 많이 먹는 음식이다.
105,김치전,비 오는날 먹으면 좋은 전!
106,김치전,간단하게 해먹기 좋은 메뉴
107,김치전,신김치일수록 맛이 뛰어나다
108,김치전,음식 재료 김치 부침가루 조미료 및 양념 소금 식용유 취향에 따른 추가 재료 야채 오징어 칵테일 새우 등의 해물 고춧가루 고추장 다짐육 굴 피자치즈 옥수수 삼겹살 등 가장 기본적인 것으로는 김치를 잘 고르는 것이다 
109,김치전,대부분의 맛을 주재료인 김치에 의존하기 때문에 어지간한 요리치가 아니면 기본은 만들 수 있는 요리다
110,김치전,전의 한 종류로서 보통 반찬으로 먹거나 간식 술안주 등으로 먹는다
111,김치찌개,"식사 때 밥에 곁들여지는 부식으로도 잘 어울리는 음식이지만?술안주, 캠핑요리로도 제격인 음식이고 특히나?소주와는 거의 찰떡궁합이다"
112,김치찌개,한국인이라면 싫어할 수 없는 음식
113,김치찌개,찌개류 양대산맥 중 하나!
114,김치찌개,직장인 점심 메뉴로 많이 먹어요!
115,김치찌개,라면사리 추가요~~
116,김치찌개,대표적인 찌개 요리 중 하나이다
117,김치찌개,김치를 기반으로 하는 찌개 요리다
118,김치찌개,한국 요리 중 하나
119,김치찌개,"맵고 짠 맛을 베이스로 하고, 뜨겁게 해서 먹는 경우가 많아 요리치라 해도 크게 티가 나지 않는 음식이긴 하다"
120,김치찌개,"재료: 김치, 고춧가루, 다진마늘, 참기름, 돼지고기, 소금, 물"
121,김치찌개,"김치는 대체적으로?배추김치를 많이 쓰지만, 가끔?열무김치나?깍두기로 이것을 만들기도 한다"
122,김치찌개,장년층 이상이 찾는 술집이나 실내포장마차 등지에서 제일 기본적으로 내놓는 소주 안주 중 하나가 김치찌개다
123,김치찜,"일반적으로 돼지고기나 고등어, 참치 혹은 꽁치 통조림 등 서민적인 단백질원을 사용한다"
124,김치찜,푹익은 묵은지로 만들면 밥도둑!
125,김치찜,고기에 김치싸서 먹으면 술안주!
126,김치찜,다 같이 먹기 좋은 음식!
127,김치찜,한국인이라면 싫어할 수 없는 음식
128,김치찜,"대중적인?한국 요리?중 하나로, 배추김치를 기본으로 동물성 재료와?파,?마늘?등의 향신료와 함께 오랜 시간 뭉근하게 익혀내는 찜 요리이다"
129,김치찜,한옥집의 성공으로 김치찜은 이제 많은 대중식당에서 찾아볼 수 있는 스테디셀러 메뉴가 되었다
130,김치찜,"특히 묵은지찜의 경우 돼지고기와 궁합이 좋은데, 자칫하면 지방이 많아 느끼해질 수 있는 돼지고기를 묵은지의 신맛이 잘 중화해주기 때문이다"
131,깐쇼새우,아무리 싸도 2만원이 넘어가고 비싸면 3만원을 넘길 수도 있다
132,깐쇼새우,중화요리에 빠질 수 없는 메뉴
133,깐쇼새우,비싼 가격이지만 맛하나는 확실한 메뉴
134,깐쇼새우,유명한 중식 새우요리 중 하나!
135,깐쇼새우,"각종 다진 야채들과 토마토케첩, 두반장을 넣고 만든 걸쭉한 소스에 튀긴 새우를 넣고 버무리는 것이지요"
136,깐쇼새우,"맥주나 고량주, 소주 등 모든 술과 잘 어울리는 안주다."
137,깐쇼새우,"새우튀김에?케첩,?두반장을 넣어 만든?칠리소스를 곁들여 만든?중국 요리이다"
138,깐풍기,중국식 닭 튀김 요리이다.
139,깐풍기,"깐풍 새우, 깐풍 치킨"
140,깐풍기,밥 종류나 면 종류 등의 각자 먹을 식사 메뉴와 함께 다 같이 먹을 요량 
141,깐풍기,치킨과 비슷한 중화요리
142,깐풍기,중화요리에서 빠질수 없는 닭 요리
143,깐풍기,가격은 조금 비싸요~
144,깐풍기,중화요리집에서 술안주로 많이 먹었던 메뉴이며 특히 백주 같은 독한 술은 물론이고 맥주와도 상성이 좋은 관계로 지금도 중노년층 중에서 깐풍기와 고량주 조합을 선호하는 분들을 흔하게 볼 수 있다
145,깐풍기,중국에서 보기 힘든 음식으로 한식에 더 가까운 요리 
146,깐풍기,어린 닭의 살을 발라 바삭하게 튀겨 매콤하고 쌈빡한 풍미를 더해 먹는 요리 
147,깐풍기,닭고기에 녹말물을 묻혀 튀긴 뒤에 고추기름과 마늘 생강을 기본으로 한 매콤한 소스 양념에 야채들을 곁들여 볶아 만든 요리
148,꼬치,재료를 긴 꼬챙이에 꿰어 먹는 요리의 총칭
149,꼬치,"세계적으로 다양한 관련 요리가 존재하며 요리법도 직화구이, 오븐, 철판, 후라이팬, 튀김, 뜨거운 국물 담그기 등 요리 숫자 못지않게 다양하다"
150,꼬치,일본에서 맛있게 먹을 수 있어요!
151,꼬치,길거리 음식으로도 볼 수 있습니당
152,꼬치,간단하게 술한잔 할때 좋아요
153,꼬치,"종류로는 닭꼬치, 떡꼬치, 산적, 소떡소떡, 양꼬치, 어묵꼬치,염통꼬치, 등 여러 종류가 있다"
154,꼬치,"바비큐 소스, 캐첩, 매운소스 등 다양한 소스에 찍어 먹는다"
155,꼬치,술안주로 유명하다
156,꼼장어구이,한국에서는 이것을?정력?보강용 스테미나 음식으로 즐겨 먹는다
157,꼼장어구이,"소금구이가 있고, 양념구이가 있다"
158,꼼장어구이,고추장 양념을 재우거나 재우지 않고도 소금구이로 구워먹을 수도 있으며 끓여먹기도 한다
159,꼼장어구이,부산에서 먹는 최고의 술안주
160,꼼장어구이,양념구이 소금구이가 있어요~
161,꼼장어구이,"꼼장어에는?단백질과?지방,?비타민A가 매우 풍부하며 영양가가 높은 식품으로 매우 인기가 많다"
162,꼼장어구이,"부산에서는 먹장어를 제철 음식으로 여름에 먹기도 하나,대한민국 전국에서 보통 계절을 가리지 않고 먹는다"
163,꼼장어구이,술안주로 유명하다
164,꽁치구이,맛은 담백하고 소금을 간을 해서 짭짤한 편이다
165,꽁치구이,생선구이의 한 종류이다
166,꽁치구이,횟집 사이드 메뉴 단골메뉴
167,꽁치구이,뼈까지 함께 먹는 생선구이~
168,꽁치구이,고소한 맛이 좋은 생선구이에요!
169,꽁치구이,주로 한국이나 일본에서 밥반찬으로 많이 먹는 음식이다
170,꽁치구이,손질하여 칼집을 넣은?생선에 소금을 뿌려서 석쇠나 식용유를 두른 팬에 구운 요리
171,꽃게탕,매콤하며 얼큰한 맛이 나 소주와도 잘 어울린다
172,꽃게탕,무하고 쑥갓을 넣기도 하며 꽃게 외에 여러 해물을 넣고 해물탕처럼 만들어 먹기도 한다
173,꽃게탕,칼칼하고 시원한 국물이 일품이죠
174,꽃게탕,가격은 조금 비싼 탕입니당~
175,꽃게탕,꽃게는 9~10월이 제철이에요!
176,꽃게탕,"손질한 꽃게를 주 재료로 하는 탕요리로 고추장과 된장, 고춧가루, 국간장, 다진 마늘로 양념국물을 만들고 꽃게, 호박, 양파, 대파, 청양고추을 푹 끓여서 완성한다"
177,꽃게탕,주로 겨울철에 많이 먹는다
178,꽃게탕,꽃게를 주로한 한국의 해물 탕요리이다
179,나베,각종 재료를 넣고 푹 삶아 끓인 요리
180,나베,일본식 대창 전골!
181,나베,한국과 다르게 뽀얀 국물이에요!
182,나베,고소한 대창과 부추를 곁들여서 먹는 요리입니다!
183,나베,한국의 전골과 비슷한 요리이다
184,나베,"스키야키와 샤브샤브, 밀푀유나베가 유명한 편이다"
185,낙지볶음,소면이나 우동사리나 밥을 비벼 먹는 레시피가 주를 이루며 혼자 먹기는 부담스러우며 4명정도 같이 먹기 좋은 음식이다
186,낙지볶음,"두족류 해양 생물이 메인 재료라는 점과 매콤달콤한 고추장 양념에 칼칼하게 볶아낸다는 점에서 오징어볶음, 주꾸미볶음과 유사하다"
187,낙지볶음,매콤한 맛이 좋은 밥도둑
188,낙지볶음,콩나물과 궁합이 좋은 메뉴
189,낙지볶음,"밥은 필수로 비벼먹죠,,"
190,낙지볶음,간장게장 및 양념게장과 더불어 대표적인 밥도둑으로 꼽힌다
191,낙지볶음,해물파전 및 매운탕 종류와 궁합이 잘 맞아서 낙지볶음을 시키면 해물파전과 매운탕을 같이 시키거나 서비스로 콩나물국이나 조개탕처럼 맑은 국물이 같이 나올 때가 있다
192,낙지볶음,다만 메인재료인 두족류가 식감이 미묘하게 다르다보니 같은 양념에 볶더라도 다른 풍미가 느껴진다
193,낙지볶음,많은 레시피가 존재하는 요리지만 기본적으로 매콤한 양념에 낙지와 야채를 볶아낸다는 점은 같다
194,낙지볶음,낙지를 매콤한 양념에 볶아낸 한국 요리
195,난자완스,고급 요리이다 보니 가격은 대개 비싼 편으로 고량주와 함께 먹기 좋은 중식이다
196,난자완스,미트볼에다가 토마토 소스나 크림 소스같은 서양식 소스 대신에 중국풍 소스를 쓰면 바로 이것이 되기 때문에 만들기도 쉽다
197,난자완스,생소할 수 있는 중화요리 중 하나
198,난자완스,고기 완자를 채소와 볶아낸 음식!
199,난자완스,"고기가 베이스이고, 맵거나 시지 않으면서 달달한 소스로 맛을 내기 때문에 인기있는 중화요리이다"
200,난자완스,"튀김류에 속하는 음식으로, 고기 완자 모양을 낸 요리이다"
201,난자완스,소고기와 돼지고기를 다져 만든 고기 완자를 채소와 함께 볶아낸 중국음식이다
202,내장탕,얼큰한 국밥메뉴 중 하나!
203,내장탕,"숙취해소용으로, 반대로?술안주로도 많이 먹는다"
204,내장탕,호불호가 갈릴 수 있는 음식!
205,내장탕,양평해장국이 매우 유명하죠!
206,내장탕,"소주에 재워놓은 내장을?콩나물,?고사리,?숙주,?마늘,?대파?등을 넣고?사골?육수,?고춧가루,?후추,?다시다?등으로 양념해놓은 국물과 함께 푹 끓이면 완성된다"
207,내장탕,주로 소의?내장을 주 재료로 해서 끓인 한국의 탕요리
208,내장탕,"아무래도 국물 요리의 특성상 안주로서는 소주, 막걸리와 어울린다"
209,냉면,은 주로?한국 요리에서?밀이나?메밀로 만든 면을 차가운 육수에 말아 먹거나 양념에 비벼 먹는 음식을 가리킨다
210,냉면,"식초와 겨자 등을 넣어 새콤하고 담백한 맛으로 먹을 수 있으며, 가격은 저렴한 편이다"
211,냉면,여름에 먹어줘야 하는 음식 중 하나
212,냉면,고기 집 최고의 사이드 메뉴
213,냉면,"비빔, 물 둘다 너무 맛있는 메뉴"
214,냉면,현재로서는 이것에 대한 대중적인 인식은 '여름 별미'가 되어있다
215,냉면,무더운 여름날 시원하게 먹기 아주 좋다
216,냉면,"고기집에서 '식사 메뉴'로 공기밥이나 냉면을 제공하는 경우가 많은데 수육 삶고, 고기 다듬고 남은 뼈와 잡고기로 육수를 만들 수 있기 때문이다"
217,냉면,"삶은 계란, 지단, 편육, 만두, 숯불고기, 돈가스 등과 곁들여 먹는다"
218,닭갈비,"닭고기?중에서도 살코기가 가장 많은 부위인?닭가슴살과?닭다리를 매운 양념에 재워서?야채, 고구마,?떡?같은 부재료를 넣어서 석쇠에 구워먹거나 철판에 볶아먹는?한국 요리이다"
219,닭갈비,곁들여먹을 찬거리로 동치미를 주기도 한다
220,닭갈비,춘천에서 매우 유명한 요리
221,닭갈비,철판에 볶아 먹고 밥도 볶아먹고!
222,닭갈비,숯불에 구어 먹기도 해요!
223,닭갈비,"이것을 다 먹을 즈음에는 식사를 시키는데,?볶음밥과 볶음 국수(사리)의 두 가지를 택일하거나 섞을 수 있다"
224,닭갈비,춘천의 대표 음식으로 여겨지고 있다
225,닭갈비,"닭고기와 고추장의 조합은 맛이 없을래야 없을 수가 없으므로, 닭고기를 좋아하는 사람이라면 최고의 극호 음식이다"
226,닭갈비,"후식으로는?냉면,?막국수가 나오며?막국수와 함께?춘천시의 명물로 대표되는 음식이기도 하다"
227,닭갈비,"의외로 간장풍 양념맛도 제법 괜찮은데, 짭잘하고 달짝지근한게 약간 찜닭 느낌도 나서 매운 거 못 먹는데 이 요리는 먹어보고 싶은 사람들에게 잘 맞는다"
228,닭갈비,"10,000원 선이다"
229,닭껍질튀김,짭짤한 맛으로 맥주와 먹기 좋은 안주이다
230,닭껍질튀김,닭껍질만 튀기면 껍질층의 지방은 거의다 녹아버리고 튀김옷이 대부분을 차지해 치킨에 붙은 닭껍질을 떼먹는 것과는 맛 차이가 크다
231,닭껍질튀김,야식으로 먹기 좋다
232,닭껍질튀김,프랜차이즈 치킨집에서 유행한 메뉴!
233,닭껍질튀김,시원한 맥주안주로 강추!
234,닭껍질튀김,많이 먹으면 느끼할 수 있어요~
235,닭껍질튀김,닭껍질에 염지를 하고 밀가루나 전분 등을 묻혀 튀긴 요리
236,닭껍질튀김,껍질만 있어서 엄청 짠 편이다
237,닭도리탕,"기호에 따라 떡, 당면, 국수, 라면사리, 면발, 치즈 등 고명을 넣어서도 먹는다"
238,닭도리탕,매콤하게 먹을 수 있다
239,닭도리탕,야들야들한 편이다
240,닭도리탕,매우 한국적인 닭 요리중 하나!
241,닭도리탕,밥반찬으로 주로 먹는 메뉴 중 하나!
242,닭도리탕,감자를 으깨서 먹어도 정말 맛있어요!
243,닭도리탕,"조선시대에도 닭찜, 닭볶음, 닭조림 등 비슷한 요리가 언급되었고, 고춧가루를 쓰지 않는 대신 간장과 마늘, 생강, 후추를 사용했으며, 조리 방식은 지금과 큰 차이가 없었다"
244,닭도리탕,밥과 궁합이 잘 맞으며 소주 안주로 제격이다
245,닭도리탕,닭고기를 뼈째로 조각낸 부분을 양념해 감자와 당근과 함께 끓여낸 한국 요리다
246,닭도리탕,칼칼하고 개운한 맛으로 한국인들이 좋아한다
247,닭도리탕,닭도리탕은?닭고기를 뼈째로 조각낸(토막낸) 부분을 양념해?감자와?당근과 함께 끓여낸?한국 요리다
248,닭똥집,한 팩에 6000원 정도에 먹을 수 있다
249,닭똥집,포장마차의 인기 메뉴 중 하나로?닭의 모래주머니다
250,닭똥집,최고의 소주안주 중 하나
251,닭똥집,"마요네즈 소스, 기름장 다 맛있어요!"
252,닭똥집,마늘과 궁합이 굉장히 좋습니다~
253,닭똥집,약간은 질긴 듯 아작아작 씹히는 독특한 식감이 포인트
254,닭똥집,"본래 근육 부위인 만큼 근육을 씹는 느낌이 들고, 흔히 표현하는 쫄깃함과는 오히려 거리가 있다"
255,닭똥집,?타 부위보다 비싼 부위는 아니고 수요도 그만큼 적기 때문에 기본적으로 저렴한 부위이긴 하다
256,닭똥집,양념에 볶아서 겉면에 묻히듯 먹거나 아예?후라이드 치킨처럼 튀겨서도 먹는데 시장 통닭집에 가면 거의 대부분 판다
257,닭똥집,술 안주로 좋다.
258,닭발,스트레스를 받거나 하는 경우에 매콤한 맛으로 스트레스를 풀기위해 여성들이 많이 먹는다
259,닭발,안주로 파는 가격과 원가 차이가 꽤 많이 나는 음식이기도 하다
260,닭발,식감이 촉촉하고 쫀득한 특성을 가지고 있다
261,닭발,최고의 소주 안주 입니당!!
262,닭발,여성분들이 좋아하는 메뉴죠!
263,닭발,마요네즈 소스 꼭 찍어먹어보세요!!
264,닭발,"주먹밥, 계란찜 필수..!"
265,닭발,호불호가 있는 편이며 여자들이 좋아하는 메뉴이다
266,닭발,뼈가 있는 닭발이 있고 뼈가 없는 무뼈 닭발도 있다
267,닭발,맵고 자극적이다.
268,닭발,닭의 발을 맵게 양념해서 먹는 요리
269,닭발,여성들에게 인기가 많은 술 안주이다.
270,닭발,주먹밥과 함께 먹는 경우가 많으며 굉장히 궁합이 좋다
271,닭발,특히 양념에 재워둔 매운닭발은 술안주로 매우 인기가 많다
272,대하,파스타나 피자에 새우를 넣기도 하고 스테이크에 새우를 얹기도 한다
273,대하,시원한 바람이 부는 가을의 대표 음식이다.
274,대하,소금구이가 일품인 메뉴
275,대하,머리를 버터에 볶아서 드셔보세요!
276,대하,껍질을 까는게 조금 귀찮지만 정말 맛있어요!
277,대하,구워 먹는 새우가 아직 살아있다면 그대로 껍데기를 벗겨서 날로?간장이나?초고추장에 먹어도 맛있다
278,대하,크기가 크고 맛이 좋아 찌거나 소금구이를 해먹는다
279,덮밥,쉽게 말해 밥 위에 반찬을 얹어 먹는 요리이다
280,덮밥,돈부리 
281,덮밥,비빔밥과 같은 식재료의 원형에 가까운 고명이나 이미 조리가 완료된 반찬 등을 막론하고 어떠한 것이든 서로 같이 먹으면 궁합이 잘 맞는 재료들이다
282,덮밥,덮밥류 중 가장 잘 알려진 덮밥으로는 불고기덮밥 오징어덮밥 낙지덮밥 마파두부덮밥 장어덮밥 회덮밥 돈까스덮밥 등이 있다
283,덮밥,간편하게 먹기 좋은 메뉴
284,덮밥,부담되지 않는 가격!
285,덮밥,학생들이 많이 먹어요~
286,덮밥,이 외에도 지역별로 식당별로 고유의 덮밥들을 내놓고 있다
287,덮밥,닭갈비덮밥이나 라면덮밥이라는 다소 의외의 메뉴도 존재한다
288,덮밥,카레나 하이라이스 등의 메뉴도 엄밀히 말하자면 덮밥류로 속한다
289,덮밥,밥 위에 고기 야채 소스 등을 넣고 같이 섞어 먹는 요리의 일종이다
290,도가니탕,대한민국의 육탕 요리이자?쇠고기의 부위 중 하나인 도가니뼈로 국물을 우려낸 요리
291,도가니탕,스지탕이라고도 부른다
292,도가니탕,추운 겨울날 뜨끈한 국물 한입 하기 좋은 음식
293,도가니탕,무릎이 시렵다면 제격인 음식
294,도가니탕,쫀득쫀득 고기와 진한 국물을 함께 먹으면 행복 그자체
295,도가니탕,소의 뒷다리 무릎 연골 부위에 있는 도가니뼈와 살코기를 재료로 하여 육수를 내는 육탕 음식 중 하나이다
296,도가니탕,"소의 무릎뼈 부위의 힘줄, 도가니뼈 등을 고은 탕인데, 거기에?대파,?마늘,?후추?등을 넣고 먹는 국물 요리로 유사한 육탕 음식으로는?설렁탕,?곰탕,?갈비탕?등이 있다"
297,도가니탕,"이것은 한 그릇에 적어도 10,000원 이상이다"
298,도가니탕,주로 관절이 염증 때문에 부으면서 아픈 데에 쓴다
299,도가니탕,"그 외에 방광이나 신장, 하지부종 등에도 쓰이며 노인성 쇠약에도 쓰인다"
300,도토리묵,식감이 푸딩처럼 부드러운 것이 특징으로 맛은 적당히 고소한 편이다
